text,template,Domain,Categpry,SubCategory,Keyword
 back call complaint number please reachable reaching ref registering thank tried,1.1079E+18,,,,
 booking call dear done due for get hindupur honda kindly paid premium reg report service sir vehicle your,1.10716E+18,,,,
 and birthday celebrate click desi enjoy global here let member one shopping something special store time upcoming upto,1.10716E+18,,,,
 angel ignore one paid pay please,1.30716E+18,,,,
 credit fresh ledger margin more position released requirement subject,1.30716E+18,,,,
 angel arq dear missing one prime recommendations renew subscription today valuable you,1.30716E+18,,,,
 angel arq dear expire now one prime renew subscription your,1.30716E+18,,,,
 account angel anyone hours one opening otp share valid,1.30716E+18,,,,
 ignore paid pay pls,1.30716E+18,,,,
 angone balance click client dated dear kindly ledger link oct pay summary trade view,1.30716E+18,,,,
 angel client date dear margin one penalty posted regards resulted shortage this trading,1.30716E+18,,,,
angel call dear details for fund lumpsum mutual one order rejected your,1.30716E+18,,,,
 annai customer dear gold jewellers kovilpatti rajapalayam rate silver today tuticorin,1.6071E+18,,,,
,1.10717E+18,,,,
 airavenuehotel avail com contact dear discounts feedback next staying thank valuable visit www your,1.50717E+18,,,,
 abbinaya for from purchasing readymade thank you,1.70716E+18,,,,
 abslmf ifa login otp portal regards,1.00711E+18,,,,
aadhaar complete customer dear khosla kindly kyc labs link provided use using,1.10716E+18,,,,
 add adda bonus don get inra min miss oct play poker till today upto use valid weurl,1.10716E+18,,,,
 admission apply bba bca bcom bjmc choice colleges dear get guidence now student top,1.20716E+18,,,,
abfl change mobile number one otp password please regards share time your,1.10716E+18,,,,
aditya authentication birla collect finance limited mins next otp regards valid your,1.10717E+18,,,,
 activ aditya bank birla coi complimentary cover deposit enabled fixed ghc hdfc health insurance plan secure vide year,1.00705E+18,,,,
 call coach connect effectively goals guide happy health meet nadar new now paulin please,1.00701E+18,,,,
aditya birla brokers contact dealer expiring hector insurance ltd please policy renewal your,1.10716E+18,,,,
,1.10716E+18,,,,
,1.10716E+18,,,,
 activ aditya age birla wellness,1.10716E+18,,,,
around associated brokers ctc demand good guw hul last operating remainder,1.0078E+18,,,,
